Estado,Abreviatura,Regiones,Mujeres,Hombres,No_esp,Total
 Aguascalientes,AG,Centro-norte,11266,11801,0,23067
 Baja California,BC,Norte,29364,29651,0,59015
 Baja California Sur,BS,Norte-occidente,5084,5158,0,10242
 Campeche,CM,Sur,7049,7246,0,14295
 Coahuila de Zaragoza,CO,Norte,23326,23802,0,47128
 Colima,CL,Centro-norte,4721,4831,0,9552
 Chiapas,CS,Sur,71864,74434,0,146298
 Chihuahua,CH,Norte,26904,28067,0,54971
 CDMX,CX,Centro,46606,47733,0,94339
 Durango,DG,Norte-occidente,15135,15924,0,31059
 Guanajuato,GT,Centro,53094,54314,1,107409
 Guerrero,GR,Sur,32348,33238,1,65587
 Hidalgo,HG,Centro,19310,20121,0,39431
 Jalisco,JC,Centro-norte,62347,65106,0,127453
 Mexico,EM,Centro,108751,110648,0,219399
 Michoacan,MI,Centro-norte,39911,41303,1,81215
 Morelos,MO,Centro,12681,12987,0,25668
 Nayarit,NA,Norte-occidente,8641,8701,0,17342
 Nuevo Leon,NL,Norte,40408,41706,0,82114
 Oaxaca,OA,Sur,35682,36330,0,72012
 Puebla,PU,Centro,56941,57862,0,114803
 Queretaro,QT,Centro,16167,16634,0,32801
 Quintana Roo,QR,Sur,12887,13229,0,26116
 San Luis Potosi,SL,Centro-norte,21236,21832,0,43068
 Sinaloa,SI,Norte-occidente,21840,22593,0,44433
 Sonora,SO,Norte,19963,20598,0,40561
 Tabasco,TB,Sur,21379,21750,0,43129
 Tamaulipas,TM,Norte,23959,25089,0,49048
 Tlaxcala,TL,Centro,10035,10260,0,20295
 Veracruz,VE,Sur,51455,53582,0,105037
 Yucatan,YU,Sur,13926,14138,0,28064
 Zacatecas,ZA,Norte-occidente,14022,14420,0,28442
