Estado,Abreviatura,Regiones,Mujeres,Hombres,No_esp,Total
 Aguascalientes,AG,Centro-norte,7,86,0,93
 Baja California,BC,Norte,298,2563,106,2967
 Baja California Sur,BS,Norte-occidente,7,71,0,78
 Campeche,CM,Sur,7,69,0,76
 Coahuila de Zaragoza,CO,Norte,33,209,0,242
 Colima,CL,Centro-norte,105,588,1,694
 Chiapas,CS,Sur,74,461,1,536
 Chihuahua,CH,Norte,357,3107,4,3468
 CDMX,CX,Centro,144,1196,0,1340
 Durango,DG,Norte-occidente,20,147,1,168
 Guanajuato,GT,Centro,640,4524,206,5370
 Guerrero,GR,Sur,154,1349,4,1507
 Hidalgo,HG,Centro,42,324,0,366
 Jalisco,JC,Centro-norte,245,1989,7,2241
 Mexico,EM,Centro,432,2648,9,3089
 Michoacan,MI,Centro-norte,248,2149,3,2400
 Morelos,MO,Centro,81,905,2,988
 Nayarit,NA,Norte-occidente,22,162,1,185
 Nuevo Leon,NL,Norte,93,822,4,919
 Oaxaca,OA,Sur,110,765,0,875
 Puebla,PU,Centro,128,902,1,1031
 Queretaro,QT,Centro,25,202,0,227
 Quintana Roo,QR,Sur,68,560,0,628
 San Luis Potosi,SL,Centro-norte,62,729,12,803
 Sinaloa,SI,Norte-occidente,40,814,12,866
 Sonora,SO,Norte,93,1449,40,1582
 Tabasco,TB,Sur,55,530,0,585
 Tamaulipas,TM,Norte,75,705,20,800
 Tlaxcala,TL,Centro,27,125,2,154
 Veracruz,VE,Sur,139,1038,2,1179
 Yucatan,YU,Sur,12,60,0,72
 Zacatecas,ZA,Norte-occidente,114,1088,42,1244
