Estado,Abreviatura,Regiones,Mujeres,Hombres,No_esp,Total
 Aguascalientes,AG,Centro-norte,13,90,0,103
 Baja California,BC,Norte,349,2754,145,3248
 Baja California Sur,BS,Norte-occidente,11,65,1,77
 Campeche,CM,Sur,14,93,0,107
 Coahuila de Zaragoza,CO,Norte,26,145,0,171
 Colima,CL,Centro-norte,66,539,2,607
 Chiapas,CS,Sur,66,498,4,568
 Chihuahua,CH,Norte,335,2396,8,2739
 CDMX,CX,Centro,127,948,1,1076
 Durango,DG,Norte-occidente,9,133,1,143
 Guanajuato,GT,Centro,571,3697,65,4333
 Guerrero,GR,Sur,153,1302,13,1468
 Hidalgo,HG,Centro,44,243,0,287
 Jalisco,JC,Centro-norte,256,2011,7,2274
 Mexico,EM,Centro,438,2653,28,3119
 Michoacan,MI,Centro-norte,276,2417,3,2696
 Morelos,MO,Centro,101,1098,0,1199
 Nayarit,NA,Norte-occidente,31,186,5,222
 Nuevo Leon,NL,Norte,103,967,0,1070
 Oaxaca,OA,Sur,91,695,0,786
 Puebla,PU,Centro,113,731,3,847
 Queretaro,QT,Centro,27,204,0,231
 Quintana Roo,QR,Sur,76,601,0,677
 San Luis Potosi,SL,Centro-norte,84,704,9,797
 Sinaloa,SI,Norte-occidente,36,598,1,635
 Sonora,SO,Norte,157,1856,76,2089
 Tabasco,TB,Sur,46,407,0,453
 Tamaulipas,TM,Norte,63,633,43,739
 Tlaxcala,TL,Centro,29,131,0,160
 Veracruz,VE,Sur,112,835,1,948
 Yucatan,YU,Sur,8,47,0,55
 Zacatecas,ZA,Norte-occidente,171,1586,19,1776
