Estado,Abreviatura,Regiones,Mujeres,Hombres,No_esp,Total
 Aguascalientes,AG,Centro-norte,9,73,0,82
 Baja California,BC,Norte,272,2603,37,2912
 Baja California Sur,BS,Norte-occidente,31,169,0,200
 Campeche,CM,Sur,14,65,0,79
 Coahuila de Zaragoza,CO,Norte,30,214,0,244
 Colima,CL,Centro-norte,85,660,2,747
 Chiapas,CS,Sur,52,610,0,662
 Chihuahua,CH,Norte,279,2695,4,2978
 CDMX,CX,Centro,138,1331,0,1469
 Durango,DG,Norte-occidente,21,157,0,178
 Guanajuato,GT,Centro,362,3152,3,3517
 Guerrero,GR,Sur,238,2121,8,2367
 Hidalgo,HG,Centro,54,285,1,340
 Jalisco,JC,Centro-norte,284,2617,27,2928
 Mexico,EM,Centro,458,2707,5,3170
 Michoacan,MI,Centro-norte,184,1887,5,2076
 Morelos,MO,Centro,84,735,4,823
 Nayarit,NA,Norte-occidente,39,354,4,397
 Nuevo Leon,NL,Norte,92,758,0,850
 Oaxaca,OA,Sur,132,996,0,1128
 Puebla,PU,Centro,137,1109,3,1249
 Queretaro,QT,Centro,29,200,0,229
 Quintana Roo,QR,Sur,92,748,1,841
 San Luis Potosi,SL,Centro-norte,60,502,1,563
 Sinaloa,SI,Norte-occidente,52,1159,3,1214
 Sonora,SO,Norte,63,869,4,936
 Tabasco,TB,Sur,48,519,2,569
 Tamaulipas,TM,Norte,132,1270,35,1437
 Tlaxcala,TL,Centro,22,130,0,152
 Veracruz,VE,Sur,145,1365,6,1516
 Yucatan,YU,Sur,10,49,0,59
 Zacatecas,ZA,Norte-occidente,104,656,13,773
