Estado,Abreviatura,Regiones,Mujeres,Hombres,No_esp,Total
 Aguascalientes,AG,Centro-norte,13,73,1,87
 Baja California,BC,Norte,291,2279,111,2681
 Baja California Sur,BS,Norte-occidente,15,74,0,89
 Campeche,CM,Sur,13,95,2,110
 Coahuila de Zaragoza,CO,Norte,26,143,0,169
 Colima,CL,Centro-norte,110,755,2,867
 Chiapas,CS,Sur,65,432,2,499
 Chihuahua,CH,Norte,237,1776,3,2016
 CDMX,CX,Centro,107,635,0,742
 Durango,DG,Norte-occidente,25,100,0,125
 Guanajuato,GT,Centro,568,3408,280,4256
 Guerrero,GR,Sur,133,1226,19,1378
 Hidalgo,HG,Centro,57,314,9,380
 Jalisco,JC,Centro-norte,203,1639,3,1845
 Mexico,EM,Centro,490,2725,11,3226
 Michoacan,MI,Centro-norte,241,2044,7,2292
 Morelos,MO,Centro,109,1040,0,1149
 Nayarit,NA,Norte-occidente,16,169,1,186
 Nuevo Leon,NL,Norte,150,1240,1,1391
 Oaxaca,OA,Sur,114,626,0,740
 Puebla,PU,Centro,123,923,15,1061
 Queretaro,QT,Centro,26,161,0,187
 Quintana Roo,QR,Sur,62,573,0,635
 San Luis Potosi,SL,Centro-norte,62,687,2,751
 Sinaloa,SI,Norte-occidente,37,515,6,558
 Sonora,SO,Norte,142,1521,60,1723
 Tabasco,TB,Sur,42,292,0,334
 Tamaulipas,TM,Norte,53,373,41,467
 Tlaxcala,TL,Centro,14,138,0,152
 Veracruz,VE,Sur,86,555,0,641
 Yucatan,YU,Sur,7,47,0,54
 Zacatecas,ZA,Norte-occidente,163,1261,8,1432
