Estado,Abreviatura,Regiones,Mujeres,Hombres,No_esp,Total
 Aguascalientes,AG,Centro-norte,10410,10796,0,21206
 Baja California,BC,Norte,29944,30732,0,60676
 Baja California Sur,BS,Norte-occidente,5396,5732,0,11128
 Campeche,CM,Sur,6841,7049,0,13890
 Coahuila de Zaragoza,CO,Norte,22835,23471,0,46306
 Colima,CL,Centro-norte,4404,4721,0,9125
 Chiapas,CS,Sur,72880,78684,0,151564
 Chihuahua,CH,Norte,25458,26231,0,51689
 CDMX,CX,Centro,43610,44789,0,88399
 Durango,DG,Norte-occidente,14859,15248,0,30107
 Guanajuato,GT,Centro,48392,49754,0,98146
 Guerrero,GR,Sur,35840,36055,0,71895
 Hidalgo,HG,Centro,18724,19246,0,37970
 Jalisco,JC,Centro-norte,64423,66707,0,131130
 Mexico,EM,Centro,108808,111544,1,220353
 Michoacan,MI,Centro-norte,39561,41152,0,80713
 Morelos,MO,Centro,13088,13845,0,26933
 Nayarit,NA,Norte-occidente,8934,9251,0,18185
 Nuevo Leon,NL,Norte,40669,41790,0,82459
 Oaxaca,OA,Sur,29186,30090,0,59276
 Puebla,PU,Centro,55168,57153,0,112321
 Queretaro,QT,Centro,15950,16443,0,32393
 Quintana Roo,QR,Sur,13294,13792,0,27086
 San Luis Potosi,SL,Centro-norte,20853,21558,0,42411
 Sinaloa,SI,Norte-occidente,22856,23813,0,46669
 Sonora,SO,Norte,18983,19390,0,38373
 Tabasco,TB,Sur,19404,20193,0,39597
 Tamaulipas,TM,Norte,23177,24110,0,47287
 Tlaxcala,TL,Centro,9653,9964,1,19618
 Veracruz,VE,Sur,53782,55329,0,109111
 Yucatan,YU,Sur,13829,14103,0,27932
 Zacatecas,ZA,Norte-occidente,13368,13402,0,26770
