Estado,Abreviatura,Regiones,Mujeres,Hombres,No_esp,Total
 Aguascalientes,AG,Centro-norte,8,76,0,84
 Baja California,BC,Norte,205,1955,9,2169
 Baja California Sur,BS,Norte-occidente,77,673,1,751
 Campeche,CM,Sur,6,72,0,78
 Coahuila de Zaragoza,CO,Norte,41,234,0,275
 Colima,CL,Centro-norte,77,786,4,867
 Chiapas,CS,Sur,66,525,0,591
 Chihuahua,CH,Norte,258,1990,0,2248
 CDMX,CX,Centro,143,1177,0,1320
 Durango,DG,Norte-occidente,28,172,0,200
 Guanajuato,GT,Centro,216,2067,2,2285
 Guerrero,GR,Sur,215,2388,34,2637
 Hidalgo,HG,Centro,53,258,3,314
 Jalisco,JC,Centro-norte,142,1428,16,1586
 Mexico,EM,Centro,470,2595,11,3076
 Michoacan,MI,Centro-norte,145,1585,2,1732
 Morelos,MO,Centro,79,571,4,654
 Nayarit,NA,Norte-occidente,59,415,0,474
 Nuevo Leon,NL,Norte,61,603,0,664
 Oaxaca,OA,Sur,131,886,1,1018
 Puebla,PU,Centro,143,933,7,1083
 Queretaro,QT,Centro,35,183,0,218
 Quintana Roo,QR,Sur,48,406,1,455
 San Luis Potosi,SL,Centro-norte,49,457,1,507
 Sinaloa,SI,Norte-occidente,85,1553,2,1640
 Sonora,SO,Norte,65,691,5,761
 Tabasco,TB,Sur,47,403,0,450
 Tamaulipas,TM,Norte,141,1048,15,1204
 Tlaxcala,TL,Centro,18,108,0,126
 Veracruz,VE,Sur,213,1631,7,1851
 Yucatan,YU,Sur,13,39,0,52
 Zacatecas,ZA,Norte-occidente,93,614,2,709
