Estado,Abreviatura,Regiones,Mujeres,Hombres,No_esp,Total
 Aguascalientes,AG,Centro-norte,9966,10404,0,20370
 Baja California,BC,Norte,23539,24406,0,47945
 Baja California Sur,BS,Norte-occidente,4982,5099,0,10081
 Campeche,CM,Sur,5275,5454,0,10729
 Coahuila de Zaragoza,CO,Norte,22594,23221,0,45815
 Colima,CL,Centro-norte,4325,4623,0,8948
 Chiapas,CS,Sur,47962,50136,0,98098
 Chihuahua,CH,Norte,23436,24659,0,48095
 CDMX,CX,Centro,32218,33485,0,65703
 Durango,DG,Norte-occidente,13713,14275,0,27988
 Guanajuato,GT,Centro,41979,43278,2,85259
 Guerrero,GR,Sur,29174,29976,0,59150
 Hidalgo,HG,Centro,18487,19011,0,37498
 Jalisco,JC,Centro-norte,58439,61165,0,119604
 Mexico,EM,Centro,90657,93790,0,184447
 Michoacan,MI,Centro-norte,36028,37086,1,73115
 Morelos,MO,Centro,12137,12525,0,24662
 Nayarit,NA,Norte-occidente,8153,8371,0,16524
 Nuevo Leon,NL,Norte,36678,37793,0,74471
 Oaxaca,OA,Sur,25497,26534,0,52031
 Puebla,PU,Centro,51363,52865,0,104228
 Queretaro,QT,Centro,16318,16893,0,33211
 Quintana Roo,QR,Sur,11864,12199,0,24063
 San Luis Potosi,SL,Centro-norte,20432,21380,0,41812
 Sinaloa,SI,Norte-occidente,19080,19891,0,38971
 Sonora,SO,Norte,15005,15899,0,30904
 Tabasco,TB,Sur,14289,14654,0,28943
 Tamaulipas,TM,Norte,21876,22421,0,44297
 Tlaxcala,TL,Centro,10139,10471,0,20610
 Veracruz,VE,Sur,45582,46743,0,92325
 Yucatan,YU,Sur,14375,14946,0,29321
 Zacatecas,ZA,Norte-occidente,12890,13419,0,26309
